study,subject,session,acquisition,modality,slice,label
drlfom,5673,ofM,TurboRARE,T2w,16,good
drlfom,5673,ofM,TurboRARE,T2w,17,good
drlfom,5673,ofM,TurboRARE,T2w,18,good
drlfom,5673,ofM,TurboRARE,T2w,19,good
drlfom,5673,ofM,TurboRARE,T2w,20,good
drlfom,5673,ofM,TurboRARE,T2w,21,good
drlfom,5673,ofM,TurboRARE,T2w,22,good
drlfom,5673,ofM,TurboRARE,T2w,23,good
drlfom,5673,ofM,TurboRARE,T2w,24,good
drlfom,5673,ofM,TurboRARE,T2w,25,good
drlfom,5673,ofM,TurboRARE,T2w,26,good
drlfom,5673,ofM,TurboRARE,T2w,27,good
drlfom,5673,ofM,TurboRARE,T2w,28,good
drlfom,5673,ofM,TurboRARE,T2w,29,good
drlfom,5673,ofM,TurboRARE,T2w,30,good
drlfom,5673,ofM,TurboRARE,T2w,31,good
drlfom,5673,ofM,TurboRARE,T2w,32,good
drlfom,5673,ofM,TurboRARE,T2w,33,good
drlfom,5673,ofM,TurboRARE,T2w,34,good
drlfom,5673,ofM,TurboRARE,T2w,35,good
drlfom,5673,ofM,TurboRARE,T2w,36,good
drlfom,5673,ofM,TurboRARE,T2w,37,good
drlfom,5673,ofM,TurboRARE,T2w,38,good
drlfom,5673,ofM,TurboRARE,T2w,39,good
drlfom,5673,ofM,TurboRARE,T2w,40,good
drlfom,5673,ofM,TurboRARE,T2w,41,good
drlfom,5673,ofM,TurboRARE,T2w,42,good
drlfom,5673,ofM,TurboRARE,T2w,43,good
drlfom,5673,ofM,TurboRARE,T2w,44,good
drlfom,5673,ofM,TurboRARE,T2w,45,good
drlfom,5673,ofM,TurboRARE,T2w,46,good
drlfom,5673,ofM,TurboRARE,T2w,47,good
drlfom,5673,ofM,TurboRARE,T2w,48,good
drlfom,5673,ofM,TurboRARE,T2w,49,good
drlfom,5673,ofM,TurboRARE,T2w,50,good
drlfom,5673,ofM,TurboRARE,T2w,51,good
drlfom,5673,ofM,TurboRARE,T2w,52,good
drlfom,5673,ofM,TurboRARE,T2w,53,good
drlfom,5673,ofM,TurboRARE,T2w,54,good
drlfom,5674,ofM,TurboRARE,T2w,0,good
drlfom,5674,ofM,TurboRARE,T2w,1,good
drlfom,5674,ofM,TurboRARE,T2w,2,good
drlfom,5674,ofM,TurboRARE,T2w,3,good
drlfom,5674,ofM,TurboRARE,T2w,4,good
drlfom,5674,ofM,TurboRARE,T2w,5,good
drlfom,5674,ofM,TurboRARE,T2w,6,good
drlfom,5674,ofM,TurboRARE,T2w,7,good
drlfom,5674,ofM,TurboRARE,T2w,8,good
drlfom,5674,ofM,TurboRARE,T2w,9,good
drlfom,5674,ofM,TurboRARE,T2w,10,good
drlfom,5674,ofM,TurboRARE,T2w,11,good
drlfom,5674,ofM,TurboRARE,T2w,12,good
drlfom,5674,ofM,TurboRARE,T2w,13,good
drlfom,5674,ofM,TurboRARE,T2w,14,good
drlfom,5674,ofM,TurboRARE,T2w,15,good
drlfom,5674,ofM,TurboRARE,T2w,16,good
drlfom,5674,ofM,TurboRARE,T2w,17,good
drlfom,5674,ofM,TurboRARE,T2w,18,good
drlfom,5674,ofM,TurboRARE,T2w,19,good
drlfom,5674,ofM,TurboRARE,T2w,20,good
drlfom,5674,ofM,TurboRARE,T2w,21,good
drlfom,5674,ofM,TurboRARE,T2w,22,good
drlfom,5674,ofM,TurboRARE,T2w,23,good
drlfom,5674,ofM,TurboRARE,T2w,24,good
drlfom,5674,ofM,TurboRARE,T2w,25,good
drlfom,5674,ofM,TurboRARE,T2w,26,good
drlfom,5674,ofM,TurboRARE,T2w,27,good
drlfom,5674,ofM,TurboRARE,T2w,28,good
drlfom,5674,ofM,TurboRARE,T2w,29,good
drlfom,5674,ofM,TurboRARE,T2w,30,good
drlfom,5674,ofM,TurboRARE,T2w,31,good
drlfom,5674,ofM,TurboRARE,T2w,32,good
drlfom,5674,ofM,TurboRARE,T2w,33,good
drlfom,5674,ofM,TurboRARE,T2w,34,good
drlfom,5674,ofM,TurboRARE,T2w,35,good
drlfom,5674,ofM,TurboRARE,T2w,36,good
drlfom,5674,ofM,TurboRARE,T2w,37,good
drlfom,5674,ofM,TurboRARE,T2w,38,good
drlfom,5674,ofM,TurboRARE,T2w,39,good
drlfom,5674,ofM,TurboRARE,T2w,40,okay
drlfom,5674,ofM,TurboRARE,T2w,41,okay
drlfom,5674,ofM,TurboRARE,T2w,42,okay
drlfom,5674,ofM,TurboRARE,T2w,43,good
drlfom,5674,ofM,TurboRARE,T2w,44,okay
drlfom,5674,ofM,TurboRARE,T2w,45,good
drlfom,5674,ofM,TurboRARE,T2w,46,good
drlfom,5674,ofM,TurboRARE,T2w,47,good
drlfom,5674,ofM,TurboRARE,T2w,48,good
drlfom,5674,ofM,TurboRARE,T2w,49,good
drlfom,5674,ofM,TurboRARE,T2w,50,good
drlfom,5674,ofM,TurboRARE,T2w,51,good
drlfom,5674,ofM,TurboRARE,T2w,52,good
drlfom,5674,ofM,TurboRARE,T2w,53,good
drlfom,5675,ofM,TurboRARE,T2w,0,okay
drlfom,5675,ofM,TurboRARE,T2w,1,good
drlfom,5675,ofM,TurboRARE,T2w,2,good
drlfom,5675,ofM,TurboRARE,T2w,3,good
drlfom,5675,ofM,TurboRARE,T2w,4,good
drlfom,5675,ofM,TurboRARE,T2w,5,good
drlfom,5675,ofM,TurboRARE,T2w,6,good
drlfom,5675,ofM,TurboRARE,T2w,7,good
drlfom,5675,ofM,TurboRARE,T2w,8,good
drlfom,5675,ofM,TurboRARE,T2w,9,good
drlfom,5675,ofM,TurboRARE,T2w,10,good
drlfom,5675,ofM,TurboRARE,T2w,11,good
drlfom,5675,ofM,TurboRARE,T2w,12,good
drlfom,5675,ofM,TurboRARE,T2w,13,good
drlfom,5675,ofM,TurboRARE,T2w,14,good
drlfom,5675,ofM,TurboRARE,T2w,15,good
drlfom,5675,ofM,TurboRARE,T2w,16,good
drlfom,5675,ofM,TurboRARE,T2w,17,good
drlfom,5675,ofM,TurboRARE,T2w,18,good
drlfom,5675,ofM,TurboRARE,T2w,19,good
drlfom,5675,ofM,TurboRARE,T2w,20,good
drlfom,5675,ofM,TurboRARE,T2w,21,good
drlfom,5675,ofM,TurboRARE,T2w,22,good
drlfom,5675,ofM,TurboRARE,T2w,23,good
drlfom,5675,ofM,TurboRARE,T2w,24,good
drlfom,5675,ofM,TurboRARE,T2w,25,good
drlfom,5675,ofM,TurboRARE,T2w,26,good
drlfom,5675,ofM,TurboRARE,T2w,27,good
drlfom,5675,ofM,TurboRARE,T2w,28,good
drlfom,5675,ofM,TurboRARE,T2w,29,good
drlfom,5675,ofM,TurboRARE,T2w,30,good
drlfom,5675,ofM,TurboRARE,T2w,31,good
drlfom,5675,ofM,TurboRARE,T2w,32,good
drlfom,5675,ofM,TurboRARE,T2w,33,good
drlfom,5675,ofM,TurboRARE,T2w,34,good
drlfom,5675,ofM,TurboRARE,T2w,35,good
drlfom,5675,ofM,TurboRARE,T2w,36,good
drlfom,5675,ofM,TurboRARE,T2w,37,good
drlfom,5675,ofM,TurboRARE,T2w,38,good
drlfom,5675,ofM,TurboRARE,T2w,39,good
drlfom,5675,ofM,TurboRARE,T2w,40,good
drlfom,5675,ofM,TurboRARE,T2w,41,good
drlfom,5675,ofM,TurboRARE,T2w,42,good
drlfom,5675,ofM,TurboRARE,T2w,43,good
drlfom,5675,ofM,TurboRARE,T2w,44,good
drlfom,5675,ofM,TurboRARE,T2w,45,good
drlfom,5675,ofM,TurboRARE,T2w,46,good
drlfom,5675,ofM,TurboRARE,T2w,47,good
drlfom,5675,ofM,TurboRARE,T2w,48,good
drlfom,5675,ofM,TurboRARE,T2w,49,good
drlfom,5675,ofM,TurboRARE,T2w,50,good
drlfom,5675,ofM,TurboRARE,T2w,51,good
drlfom,5689,ofMcF1,TurboRARE,T2w,0,good
drlfom,5689,ofMcF1,TurboRARE,T2w,1,good
drlfom,5689,ofMcF1,TurboRARE,T2w,2,good
drlfom,5689,ofMcF1,TurboRARE,T2w,3,good
drlfom,5689,ofMcF1,TurboRARE,T2w,4,good
drlfom,5689,ofMcF1,TurboRARE,T2w,5,good
drlfom,5689,ofMcF1,TurboRARE,T2w,6,good
drlfom,5689,ofMcF1,TurboRARE,T2w,7,good
drlfom,5689,ofMcF1,TurboRARE,T2w,8,good
drlfom,5689,ofMcF1,TurboRARE,T2w,9,good
drlfom,5689,ofMcF1,TurboRARE,T2w,10,good
drlfom,5689,ofMcF1,TurboRARE,T2w,11,good
drlfom,5689,ofMcF1,TurboRARE,T2w,12,good
drlfom,5689,ofMcF1,TurboRARE,T2w,13,good
drlfom,5689,ofMcF1,TurboRARE,T2w,14,good
drlfom,5689,ofMcF1,TurboRARE,T2w,15,good
drlfom,5689,ofMcF1,TurboRARE,T2w,16,good
drlfom,5689,ofMcF1,TurboRARE,T2w,17,good
drlfom,5689,ofMcF1,TurboRARE,T2w,18,good
drlfom,5689,ofMcF1,TurboRARE,T2w,19,good
drlfom,5689,ofMcF1,TurboRARE,T2w,20,good
drlfom,5689,ofMcF1,TurboRARE,T2w,21,good
drlfom,5689,ofMcF1,TurboRARE,T2w,22,good
drlfom,5689,ofMcF1,TurboRARE,T2w,23,good
drlfom,5689,ofMcF1,TurboRARE,T2w,24,good
drlfom,5689,ofMcF1,TurboRARE,T2w,25,good
drlfom,5689,ofMcF1,TurboRARE,T2w,26,good
drlfom,5689,ofMcF1,TurboRARE,T2w,27,good
drlfom,5689,ofMcF1,TurboRARE,T2w,28,good
drlfom,5689,ofMcF1,TurboRARE,T2w,29,good
drlfom,5689,ofMcF1,TurboRARE,T2w,30,good
drlfom,5689,ofMcF1,TurboRARE,T2w,31,good
drlfom,5689,ofMcF1,TurboRARE,T2w,32,good
drlfom,5689,ofMcF1,TurboRARE,T2w,33,good
drlfom,5689,ofMcF1,TurboRARE,T2w,34,good
drlfom,5689,ofMcF1,TurboRARE,T2w,35,good
drlfom,5689,ofMcF1,TurboRARE,T2w,36,good
drlfom,5689,ofMcF1,TurboRARE,T2w,37,good
drlfom,5689,ofMcF1,TurboRARE,T2w,38,good
drlfom,5689,ofMcF1,TurboRARE,T2w,39,good
drlfom,5689,ofMcF1,TurboRARE,T2w,40,good
drlfom,5689,ofMcF1,TurboRARE,T2w,41,good
drlfom,5689,ofMcF1,TurboRARE,T2w,42,good
drlfom,5689,ofMcF1,TurboRARE,T2w,43,good
drlfom,5689,ofMcF1,TurboRARE,T2w,44,good
drlfom,5689,ofMcF1,TurboRARE,T2w,45,good
drlfom,5689,ofMcF1,TurboRARE,T2w,46,good
drlfom,5689,ofMcF1,TurboRARE,T2w,47,good
drlfom,5689,ofMcF1,TurboRARE,T2w,48,good
drlfom,5689,ofMcF1,TurboRARE,T2w,49,good
drlfom,5689,ofMcF1,TurboRARE,T2w,50,good
drlfom,5689,ofMcF1,TurboRARE,T2w,51,good
drlfom,5689,ofMcF1,TurboRARE,T2w,52,good
drlfom,5689,ofMcF1,TurboRARE,T2w,53,good
drlfom,5689,ofMcF1,TurboRARE,T2w,54,good
drlfom,5689,ofMcF1,TurboRARE,T2w,55,good
drlfom,5689,ofMcF1,TurboRARE,T2w,56,good
drlfom,5689,ofMcF1,TurboRARE,T2w,57,good
drlfom,5689,ofMcF1,TurboRARE,T2w,58,good
drlfom,5689,ofMcF1,TurboRARE,T2w,59,good
drlfom,5689,ofMcF1,TurboRARE,T2w,60,good
drlfom,5689,ofMcF1,TurboRARE,T2w,61,good
drlfom,5689,ofMcF1,TurboRARE,T2w,62,good
drlfom,5689,ofMcF1,TurboRARE,T2w,63,okay
drlfom,5689,ofMcF1,TurboRARE,T2w,64,okay
drlfom,5689,ofMcF1,TurboRARE,T2w,65,okay
drlfom,5689,ofMcF1,TurboRARE,T2w,66,okay
drlfom,5689,ofMcF1,TurboRARE,T2w,67,good
drlfom,5689,ofMcF1,TurboRARE,T2w,68,good
drlfom,5689,ofMcF2,TurboRARE,T2w,0,good
drlfom,5689,ofMcF2,TurboRARE,T2w,1,good
drlfom,5689,ofMcF2,TurboRARE,T2w,2,good
drlfom,5689,ofMcF2,TurboRARE,T2w,3,good
drlfom,5689,ofMcF2,TurboRARE,T2w,4,good
drlfom,5689,ofMcF2,TurboRARE,T2w,5,good
drlfom,5689,ofMcF2,TurboRARE,T2w,6,good
drlfom,5689,ofMcF2,TurboRARE,T2w,7,good
drlfom,5689,ofMcF2,TurboRARE,T2w,8,good
drlfom,5689,ofMcF2,TurboRARE,T2w,9,good
drlfom,5689,ofMcF2,TurboRARE,T2w,10,good
drlfom,5689,ofMcF2,TurboRARE,T2w,11,good
drlfom,5689,ofMcF2,TurboRARE,T2w,12,good
drlfom,5689,ofMcF2,TurboRARE,T2w,13,good
drlfom,5689,ofMcF2,TurboRARE,T2w,14,good
drlfom,5689,ofMcF2,TurboRARE,T2w,15,good
drlfom,5689,ofMcF2,TurboRARE,T2w,16,good
drlfom,5689,ofMcF2,TurboRARE,T2w,17,good
drlfom,5689,ofMcF2,TurboRARE,T2w,18,good
drlfom,5689,ofMcF2,TurboRARE,T2w,19,good
drlfom,5689,ofMcF2,TurboRARE,T2w,20,good
drlfom,5689,ofMcF2,TurboRARE,T2w,21,good
drlfom,5689,ofMcF2,TurboRARE,T2w,22,good
drlfom,5689,ofMcF2,TurboRARE,T2w,23,good
drlfom,5689,ofMcF2,TurboRARE,T2w,24,good
drlfom,5689,ofMcF2,TurboRARE,T2w,25,good
drlfom,5689,ofMcF2,TurboRARE,T2w,26,good
drlfom,5689,ofMcF2,TurboRARE,T2w,27,good
drlfom,5689,ofMcF2,TurboRARE,T2w,28,good
drlfom,5689,ofMcF2,TurboRARE,T2w,29,good
drlfom,5689,ofMcF2,TurboRARE,T2w,30,good
drlfom,5689,ofMcF2,TurboRARE,T2w,31,good
drlfom,5689,ofMcF2,TurboRARE,T2w,32,good
drlfom,5689,ofMcF2,TurboRARE,T2w,33,good
drlfom,5689,ofMcF2,TurboRARE,T2w,34,good
drlfom,5689,ofMcF2,TurboRARE,T2w,35,good
drlfom,5689,ofMcF2,TurboRARE,T2w,36,good
drlfom,5689,ofMcF2,TurboRARE,T2w,37,good
drlfom,5689,ofMcF2,TurboRARE,T2w,38,good
drlfom,5689,ofMcF2,TurboRARE,T2w,39,good
drlfom,5689,ofMcF2,TurboRARE,T2w,40,good
drlfom,5689,ofMcF2,TurboRARE,T2w,41,good
drlfom,5689,ofMcF2,TurboRARE,T2w,42,good
drlfom,5689,ofMcF2,TurboRARE,T2w,43,good
drlfom,5689,ofMcF2,TurboRARE,T2w,44,good
drlfom,5689,ofMcF2,TurboRARE,T2w,45,good
drlfom,5689,ofMcF2,TurboRARE,T2w,46,good
drlfom,5689,ofMcF2,TurboRARE,T2w,47,good
drlfom,5689,ofMcF2,TurboRARE,T2w,48,good
drlfom,5689,ofMcF2,TurboRARE,T2w,49,good
drlfom,5689,ofMcF2,TurboRARE,T2w,50,good
drlfom,5689,ofMcF2,TurboRARE,T2w,51,good
drlfom,5689,ofMcF2,TurboRARE,T2w,52,good
drlfom,5689,ofMcF2,TurboRARE,T2w,53,good
drlfom,5689,ofMcF2,TurboRARE,T2w,54,good
drlfom,5689,ofMcF2,TurboRARE,T2w,55,good
drlfom,5689,ofMcF2,TurboRARE,T2w,56,good
drlfom,5689,ofMcF2,TurboRARE,T2w,57,good
drlfom,5689,ofMcF2,TurboRARE,T2w,58,good
drlfom,5689,ofMcF2,TurboRARE,T2w,59,good
drlfom,5689,ofMcF2,TurboRARE,T2w,60,good
drlfom,5689,ofMcF2,TurboRARE,T2w,61,good
drlfom,5689,ofMcF2,TurboRARE,T2w,62,okay
drlfom,5689,ofMcF2,TurboRARE,T2w,63,okay
drlfom,5689,ofMcF2,TurboRARE,T2w,64,okay
drlfom,5689,ofMcF2,TurboRARE,T2w,65,good
drlfom,5689,ofMcF2,TurboRARE,T2w,66,okay
drlfom,5689,ofMcF2,TurboRARE,T2w,67,good
drlfom,5689,ofMcF2,TurboRARE,T2w,68,good
drlfom,5689,ofMpF,TurboRARE,T2w,0,good
drlfom,5689,ofMpF,TurboRARE,T2w,1,good
drlfom,5689,ofMpF,TurboRARE,T2w,2,good
drlfom,5689,ofMpF,TurboRARE,T2w,3,good
drlfom,5689,ofMpF,TurboRARE,T2w,4,good
drlfom,5689,ofMpF,TurboRARE,T2w,5,good
drlfom,5689,ofMpF,TurboRARE,T2w,6,good
drlfom,5689,ofMpF,TurboRARE,T2w,7,good
drlfom,5689,ofMpF,TurboRARE,T2w,8,good
drlfom,5689,ofMpF,TurboRARE,T2w,9,good
drlfom,5689,ofMpF,TurboRARE,T2w,10,good
drlfom,5689,ofMpF,TurboRARE,T2w,11,good
drlfom,5689,ofMpF,TurboRARE,T2w,12,good
drlfom,5689,ofMpF,TurboRARE,T2w,13,good
drlfom,5689,ofMpF,TurboRARE,T2w,14,good
drlfom,5689,ofMpF,TurboRARE,T2w,15,good
drlfom,5689,ofMpF,TurboRARE,T2w,16,good
drlfom,5689,ofMpF,TurboRARE,T2w,17,good
drlfom,5689,ofMpF,TurboRARE,T2w,18,good
drlfom,5689,ofMpF,TurboRARE,T2w,19,good
drlfom,5689,ofMpF,TurboRARE,T2w,20,good
drlfom,5689,ofMpF,TurboRARE,T2w,21,good
drlfom,5689,ofMpF,TurboRARE,T2w,22,good
drlfom,5689,ofMpF,TurboRARE,T2w,23,good
drlfom,5689,ofMpF,TurboRARE,T2w,24,good
drlfom,5689,ofMpF,TurboRARE,T2w,25,good
drlfom,5689,ofMpF,TurboRARE,T2w,26,good
drlfom,5689,ofMpF,TurboRARE,T2w,27,good
drlfom,5689,ofMpF,TurboRARE,T2w,28,good
drlfom,5689,ofMpF,TurboRARE,T2w,29,good
drlfom,5689,ofMpF,TurboRARE,T2w,30,good
drlfom,5689,ofMpF,TurboRARE,T2w,31,good
drlfom,5689,ofMpF,TurboRARE,T2w,32,good
drlfom,5689,ofMpF,TurboRARE,T2w,33,good
drlfom,5689,ofMpF,TurboRARE,T2w,34,good
drlfom,5689,ofMpF,TurboRARE,T2w,35,good
drlfom,5689,ofMpF,TurboRARE,T2w,36,good
drlfom,5689,ofMpF,TurboRARE,T2w,37,good
drlfom,5689,ofMpF,TurboRARE,T2w,38,good
drlfom,5689,ofMpF,TurboRARE,T2w,39,good
drlfom,5689,ofMpF,TurboRARE,T2w,40,good
drlfom,5689,ofMpF,TurboRARE,T2w,41,good
drlfom,5689,ofMpF,TurboRARE,T2w,42,good
drlfom,5689,ofMpF,TurboRARE,T2w,43,good
drlfom,5689,ofMpF,TurboRARE,T2w,44,good
drlfom,5689,ofMpF,TurboRARE,T2w,45,good
drlfom,5689,ofMpF,TurboRARE,T2w,46,good
drlfom,5689,ofMpF,TurboRARE,T2w,47,good
drlfom,5689,ofMpF,TurboRARE,T2w,48,good
drlfom,5689,ofMpF,TurboRARE,T2w,49,good
drlfom,5689,ofMpF,TurboRARE,T2w,50,good
drlfom,5689,ofMpF,TurboRARE,T2w,51,good
drlfom,5689,ofMpF,TurboRARE,T2w,52,good
drlfom,5689,ofMpF,TurboRARE,T2w,53,good
drlfom,5689,ofMpF,TurboRARE,T2w,54,good
drlfom,5689,ofMpF,TurboRARE,T2w,55,good
drlfom,5689,ofMpF,TurboRARE,T2w,56,good
drlfom,5689,ofMpF,TurboRARE,T2w,57,good
drlfom,5689,ofMpF,TurboRARE,T2w,58,good
drlfom,5689,ofMpF,TurboRARE,T2w,59,good
drlfom,5689,ofMpF,TurboRARE,T2w,60,good
drlfom,5689,ofMpF,TurboRARE,T2w,61,good
drlfom,5689,ofMpF,TurboRARE,T2w,62,good
drlfom,5689,ofMpF,TurboRARE,T2w,63,good
drlfom,5689,ofMpF,TurboRARE,T2w,64,good
drlfom,5689,ofMpF,TurboRARE,T2w,65,good
drlfom,5689,ofMpF,TurboRARE,T2w,66,good
drlfom,5689,ofMpF,TurboRARE,T2w,67,okay
drlfom,5689,ofMpF,TurboRARE,T2w,68,okay
drlfom,5689,ofMpF,TurboRARE,T2w,69,good
drlfom,5690,ofM,TurboRARE,T2w,0,good
drlfom,5690,ofM,TurboRARE,T2w,1,good
drlfom,5690,ofM,TurboRARE,T2w,2,good
drlfom,5690,ofM,TurboRARE,T2w,3,good
drlfom,5690,ofM,TurboRARE,T2w,4,good
drlfom,5690,ofM,TurboRARE,T2w,5,good
drlfom,5690,ofM,TurboRARE,T2w,6,good
drlfom,5690,ofM,TurboRARE,T2w,7,good
drlfom,5690,ofM,TurboRARE,T2w,8,good
drlfom,5690,ofM,TurboRARE,T2w,9,good
drlfom,5690,ofM,TurboRARE,T2w,10,good
drlfom,5690,ofM,TurboRARE,T2w,11,good
drlfom,5690,ofM,TurboRARE,T2w,12,good
drlfom,5690,ofM,TurboRARE,T2w,13,good
drlfom,5690,ofM,TurboRARE,T2w,14,good
drlfom,5690,ofM,TurboRARE,T2w,15,good
drlfom,5690,ofM,TurboRARE,T2w,16,good
drlfom,5690,ofM,TurboRARE,T2w,17,good
drlfom,5690,ofM,TurboRARE,T2w,18,good
drlfom,5690,ofM,TurboRARE,T2w,19,good
drlfom,5690,ofM,TurboRARE,T2w,20,good
drlfom,5690,ofM,TurboRARE,T2w,21,good
drlfom,5690,ofM,TurboRARE,T2w,22,good
drlfom,5690,ofM,TurboRARE,T2w,23,good
drlfom,5690,ofM,TurboRARE,T2w,24,good
drlfom,5690,ofM,TurboRARE,T2w,25,good
drlfom,5690,ofM,TurboRARE,T2w,26,good
drlfom,5690,ofM,TurboRARE,T2w,27,good
drlfom,5690,ofM,TurboRARE,T2w,28,good
drlfom,5690,ofM,TurboRARE,T2w,29,good
drlfom,5690,ofM,TurboRARE,T2w,30,good
drlfom,5690,ofM,TurboRARE,T2w,31,good
drlfom,5690,ofM,TurboRARE,T2w,32,good
drlfom,5690,ofM,TurboRARE,T2w,33,good
drlfom,5690,ofM,TurboRARE,T2w,34,good
drlfom,5690,ofM,TurboRARE,T2w,35,good
drlfom,5690,ofM,TurboRARE,T2w,36,good
drlfom,5690,ofM,TurboRARE,T2w,37,good
drlfom,5690,ofM,TurboRARE,T2w,38,good
drlfom,5690,ofM,TurboRARE,T2w,39,good
drlfom,5690,ofM,TurboRARE,T2w,40,good
drlfom,5690,ofM,TurboRARE,T2w,41,good
drlfom,5690,ofM,TurboRARE,T2w,42,good
drlfom,5690,ofM,TurboRARE,T2w,43,good
drlfom,5690,ofM,TurboRARE,T2w,44,good
drlfom,5690,ofM,TurboRARE,T2w,45,good
drlfom,5690,ofM,TurboRARE,T2w,46,good
drlfom,5690,ofM,TurboRARE,T2w,47,good
drlfom,5690,ofM,TurboRARE,T2w,48,good
drlfom,5690,ofM,TurboRARE,T2w,49,good
drlfom,5690,ofM,TurboRARE,T2w,50,good
drlfom,5690,ofM,TurboRARE,T2w,51,good
drlfom,5690,ofM,TurboRARE,T2w,52,good
drlfom,5690,ofM,TurboRARE,T2w,53,good
drlfom,5690,ofM,TurboRARE,T2w,54,good
drlfom,5690,ofM,TurboRARE,T2w,55,good
drlfom,5690,ofM,TurboRARE,T2w,56,good
drlfom,5690,ofM,TurboRARE,T2w,57,good
drlfom,5690,ofM,TurboRARE,T2w,58,good
drlfom,5690,ofM,TurboRARE,T2w,59,good
drlfom,5690,ofM,TurboRARE,T2w,60,good
drlfom,5690,ofM,TurboRARE,T2w,61,good
drlfom,5690,ofM,TurboRARE,T2w,62,good
drlfom,5690,ofM,TurboRARE,T2w,63,good
drlfom,5690,ofM,TurboRARE,T2w,64,good
drlfom,5690,ofM,TurboRARE,T2w,65,good
drlfom,5690,ofM,TurboRARE,T2w,66,good
drlfom,5690,ofM,TurboRARE,T2w,67,good
drlfom,5690,ofM,TurboRARE,T2w,68,good
drlfom,5690,ofMaF,TurboRARE,T2w,0,good
drlfom,5690,ofMaF,TurboRARE,T2w,1,good
drlfom,5690,ofMaF,TurboRARE,T2w,2,good
drlfom,5690,ofMaF,TurboRARE,T2w,3,good
